horse_name,horse_id
MASTEROFMYUNIVERSE,J325
COSMIC SPURS,J380
NEWBORN MIRACLE,J477
KING SHOW,K047
WISDOM STAR,J351
LOADED WITH FLUKE,K069
SKY VINO,K054
MULTIBINGO,J548
BEAUTY ALLIANCE,J260
MARIO,J100
MEOWTH,J487
MEEPMEEP,H234
ISLAND BREEZES,J479
THE AUSPICIOUS,K004
HEALTHY GOLF,J424
LITTLE SQUID,K050
SILVER UP,J078
HAPPY UNIVERSE,J533
SPONGE BABE,H350
VICTOR THE WINNER,G404
MUGEN,H338
ROMANTIC WARRIOR,E486
SILVERY BREEZE,K057
JOHANNES BRAHMS,K014
FANTASTIC FUN,J364
HYPER DRAGON BALL,G450
CASA ROCHESTER,J494
THESIS,H111
PRESS LINK,K018
CHAMPION INSTINCT,H012
FAST RESPONDER,J295
CAMP FIRE,J259
ORIENTAL SURPRISE,K028
TOURBILLON PRINCE,H122
JAMES TAK,J007
ALLURING LAOS,J478
KA YING RESILIENCE,J439
RISING PHOENIX,J498
FUN ELITE,J042
SHINY RAPIDASH,J492
SOLAR RIVER,J308
PRECIOUS HILL,J475
THOUSAND CUPS,J482
HONG LOK GOLF,J517
SKY JOY,K026
BLUE BARON,J448
MAX QUE,J514
SIKANDAR,K063
BINGO BABE,K115
LUCK IS BACK,J398
AURIO,K056
ROMANTIC THOR,K012
CHARMING LEGEND,K127
GLORIOUS SUCCESS,K062
KA YING SUPERB,J091
MICKLEY,K082
KEMPES,J265
ENDUED,K033
GAMEPLAYER ELITE,H356
LUPO SOLITARIO,J495
FLYING PHANTOM,J086
GOLD TACK,H106
ZETTA FORCE,J546
SEA SAPPHIRE,H343
SPEEDY SMARTIE,H108
DO YOUR PART,J444
TURF PHOENIX,J294
THE BOOM BOX,K076
ISLAND BUDDY,J217
PERFECTO MOMENTS,J003
GOOD CHAP,J499
FANCY STAR,H428
KA YING WARRIOR,H028
MARK THE MOMENT,H088
MATTERS MOST,K154
KA YING VICTORY,H287
RUN RUN SMART,K080
MAGIC HALLOW,J329
THE REVOLUTION,K092
FLYING AKEED,J471
JOLLY JUMPER,K110
SPANISH FLAME,K013
CHARMING STEED,E494
SHINE BRIGHT,H385
BRILLIANT EXPRESS,J321
INVINCIBLE LUCKY,J119
FORTUNE BOY,K098
SUPER STRONG MAN,K001
SWAGGER BRO,K089
HALO OF SUCCESS,K133
C YEAH,K034
GIAVELLOTTO,K923
DUBAI HONOUR,G809
STELLENBOSCH,K928
LUXEMBOURG,J813
MARQUISAT,K925
IRESINE,K924
CONTINUOUS,K927
PRADARIA,K926
WITHOUT A FIGHT,K921
SATONO REVE,K907
TOSHIN MACAU,K906
LUGAL,K903
RECOMMENDATION,K908
STARLUST,K905
SOUL RUSH,J808
LAZZAT,K901
ANTINO,K909
DOCKLANDS,K902
JANTAR MANTAR,K910
RAMADAN,K911
LIBERTY ISLAND,K917
TASTIERA,K913
THE FOXES,K916
CALIF,K914
CONTENT,K918
SPIRIT DANCER,K912
WINGSPAN,K919
TAMRA BLITZ,G237
GALAXY WITNESS,G110
ALLCASH,K190
TIMESTORM,G109
JOYOUS LILY,J525
BIG RED,H299
A AMERIC TE SPECSO,H037
SPORTS LEGEND,H456
BRAVE JOY,J307
TRAVEL GOLF,H063
MIDORI FUJI,J432
SNOWTHORN,K025
HAPPY SHOOTER,J427
SMILING COLLECTOR,G128
CALIFORNIA STAR,J123
FANTASTIC TREASURE,E269
LIGHT YEARS CHARM,K130
FRANCIS MEYNELL,J394
JOYFUL HUNTER,H198
CAP FERRAT,K021
S J TOURBILLON,G138
ROMANTIC NOVELIST,J167
CHILL KAKA,J486
PING HAI COMET,H344
SIGHT SUPREME,J258
ALL ARE MINE,H293
STORM RUNNER,J452
MISSION STRIKE,J377
LUCKY STATEMENT,J521
GROOVY FEELING,J515
SPIRIT OF PEACE,K007
SOMETHING JONAH,K024
PERPETUAL POWER,J326
SWEET SMILE,J282
BEAUTY INVINCIBLE,J419
NOBLE DELUXE,K052
BLING BLING GENIUS,J397
ICONICAL,J504
COSMO LIGHT,J379
KARATE EXPRESS,J306
RIDING TOGETHER,K081
AURORA PATCH,K097
KNOW AT HEART,K108
BEAUTY VIVA,K155
LEGENDARY IMPACT,K035
BUNDLE AWARD,K020
STORMI,K084
SMART TRIO,J538
CLUB ACE,J523
BEAUTY THUNDER,J299
CHILL MASTER,J319
STELLAR GRANDE,J189
GOOD GOOD,J224
YOO YOO KNIGHT,H053
NAVAL FORCE,K158
SHAMUS STORM,K031
