horse_name,horse_id
SKY FOREVER,E414
RUN RAN RUN,J108
KING OF DUBAI,J433
HONG KONG HALL,G315
SWORD POINT,G448
ADEFILL,G317
TURIN MASCOT,H165
APACHE PASS,D433
BERLIN TANGO,E120
KA YING GENERATION,J075
THE BEST PEACH,H139
ALL FOR ST PAUL'S,C517
SPEEDY FORTUNE,H097
GOOD VIEW GLORY,H154
LAPRAS,H374
CHARITY GAIN,H431
CONFRINGO,J322
KIMBERLEY,H329
UNITED ENDEAVORS,G030
LYRICAL MOTION,G081
NEVER PETER OUT,J200
GOLDEN RISE,H242
FORTUNE RACER,J234
HAYDAY,H321
SKY PROPHET,J095
HIGH PERCENTAGE,G413
CURRAHEE,J204
SWIFT ASCEND,H395
YOU'REMYEVERYTHING,E413
LEAN MASTER,H134
KING GLORIOSO,J247
TOY SOLTERO,J268
WINGS OF WAR,H162
JUNEAU PRIDE,J443
CIRCUIT JOLLY,J506
KA YING ATTACK,J391
TOP TIME,K006
SMILING EMPEROR,J371
BABY SATELLITE,J262
ENTERPRISE ATTACK,H340
CANDLELIGHT DINNER,J468
ENSUED,H452
SUPER WISE DRAGON,G475
WINNING SEVEN,J005
MASTER OF ALL,H177
CLASSIC CENTURY,J440
LOVING VIBES,J359
DRALA,J376
REWARDING TWINKLE,J368
CALIFORNIATOTALITY,H418
DARCI JOY,E161
PRINCIPLED,J206
ACCOLADE START,H331
GALLANT HERO,E480
GALAXY PATCH,H399
VOYAGE BUBBLE,E436
CHANCHENG GLORY,H212
STRAIGHT ARRON,G435
BEAUTY JOY,E058
BEAUTY ETERNAL,H008
RED LION,H115
LA CITY BLANCHE,G371
HAPPY TOGETHER,G446
SUNNY DA BEST,J118
CELTIC TIMES,G230
AMAZING VICTORY,G123
SPEED DRAGON,H380
YOUNG ACHIEVER,J291
LUCKY ENCOUNTER,H274
SEASONS WIT,H223
WONDERSTAR,J531
ATULLIBIGEAL,G173
PODIUM,H173
ROARING BEBE,H105
SILVER SPURS,J043
MODEST GENTLEMAN,G352
BRAVE OF FRIENDS,J382
APOLAR FIGHTER,J169
WAH MAY WAI WAI,J193
THE DOUBLE EAGLE,J342
CIRCUIT TEN,G429
SUPER TREASURE,J211
LUCKY MAN,J315
RIDING HIGH,J403
VICTOR THE RAPID,J393
BEAUTY INFINITY,H377
POSITIVE SMILE,J467
AESTHETICISM,H289
KYRUS DRAGON,H396
GUSTOSISIMO,J303
EASON,G061
OUR LUCKY GLORY,G292
NORDIC DRAGON,G467
TALE OF PERTH,J469
PAKISTAN FRIEND,B370
NOT A FEW,J109
E TALENT,H310
LEGEND ST PAUL'S,J507
CORLEONE,J426
FASHION LEGEND,J080
FIREFOOT,J183
FIGHT TIME,H409
SUPER TAICHI,J201
PATCH OF LUCKY,J349
FUN N GLORY,G003
BEAUTY MISSILE,H123
CARRYON SMILING,J392
EXCEED THE WISH,J480
LUCKY GENERATIONS,J338
C P BRAVE,E306
STUNNING PEACH,J301
MONEY CATCHER,G171
DRAGON JOY,J278
MONARCH COUNTY,J421
COURIER ALADDIN,J387
DECRELOT,J551
HELIOS EXPRESS,H302
CALIFORNIA SPANGLE,E314
HOWDEEPISYOURLOVE,H093
ENCOUNTERED,G236
PACKING HERMOD,J277
ARMOUR WAR EAGLE,J039
I GIVE,H036
GIDDY UP,J020
MAGNIFICENT NINE,H433
THUNDER BLINK,J019
PERFUSE,J190
BRAVEHEARTS,H389
SUNSTRIDER,J168
SO WE SING,J367
HUGE WAVE,J197
SIMPLE HEDGE,H237
TIMES TABLE,J230
FLYING ROMANTIC,J057
HAPPYDEARHAPPYDEER,J002
AMAZING AWARD,J236
